clip,stimulus,response,language,name,gender,noise_exposure,age,condition,trial,participant
yanny-laurel-single_yanny_36.wav,4,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,9,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_48.wav,5,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,10,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_48.wav,5,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,11,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_36.wav,4,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,12,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_24.wav,3,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,13,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_12.wav,2,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,14,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_6.wav,1,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,15,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_0.wav,0,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,16,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_6.wav,-1,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,17,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_12.wav,-2,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,18,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_24.wav,-3,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,19,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_36.wav,-4,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,20,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_48.wav,-5,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,21,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_48.wav,-5,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,22,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
