"","clip","stimulus","response","language","gender","noise_exposure","age","condition","trial","participant"
"103","yanny-laurel-single_yanny_6.wav",1,"Yanny","","f","no",NA,"random",14,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"104","yanny-laurel-single_laurel_48.wav",-5,"Laurel","","f","no",NA,"random",15,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"105","yanny-laurel-single_laurel_12.wav",-2,"Laurel","","f","no",NA,"random",16,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"106","yanny-laurel-single_yanny_24.wav",3,"Yanny","","f","no",NA,"random",17,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"107","yanny-laurel-single_laurel_24.wav",-3,"Laurel","","f","no",NA,"random",18,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"108","yanny-laurel-single_yanny_0.wav",0,"Laurel","","f","no",NA,"random",19,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"109","yanny-laurel-single_laurel_36.wav",-4,"Laurel","","f","no",NA,"random",20,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"110","yanny-laurel-single_laurel_6.wav",-1,"Laurel","","f","no",NA,"random",21,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"111","yanny-laurel-single_laurel_6.wav",-1,"Laurel","","f","no",NA,"random",22,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"112","yanny-laurel-single_laurel_48.wav",-5,"Laurel","","f","no",NA,"random",23,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"113","yanny-laurel-single_yanny_12.wav",2,"Yanny","","f","no",NA,"random",24,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"114","yanny-laurel-single_laurel_36.wav",-4,"Laurel","","f","no",NA,"random",25,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"115","yanny-laurel-single_yanny_48.wav",5,"Yanny","","f","no",NA,"random",26,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
